abogado,hombres,género
acomodador,hombres,género
actor,hombres,género
administrador,hombres,género
adonis,hombres,género
aficionado,hombres,género
agricultor,hombres,género
ahijado,hombres,género
alabardero,hombres,género
alcalde,hombres,género
amigo,hombres,género
anciano,hombres,género
anfitrión,hombres,género
arador,hombres,género
arquitecto,hombres,género
arrendatario,hombres,género
arriero,hombres,género
artillero,hombres,género
asesino,hombres,género
asesor,hombres,género
aviador,hombres,género
bailarín,hombres,género
barquero,hombres,género
barrendero,hombres,género
basurero,hombres,género
bracero,hombres,género
bribón,hombres,género
caballero,hombres,género
cabrero,hombres,género
camarero,hombres,género
canalla,hombres,género
capataz,hombres,género
casanova,hombres,género
cazador,hombres,género
chambelán,hombres,género
charlatán,hombres,género
chico,hombres,género
chino,hombres,género
chiquillo,hombres,género
científico,hombres,género
ciudadano,hombres,género
colegial,hombres,género
compañero,hombres,género
comprador,hombres,género
conductor,hombres,género
conquistador,hombres,género
conservador,hombres,género
constructor,hombres,género
cornudo,hombres,género
corsario,hombres,género
coyote,hombres,género
cuidador,hombres,género
dandy,hombres,género
defensor,hombres,género
desguazador,hombres,género
deshollinador,hombres,género
desollador,hombres,género
director,hombres,género
diseñador,hombres,género
divorciado,hombres,género
doctor,hombres,género
duende,hombres,género
empleado,hombres,género
enamorado,hombres,género
encargado,hombres,género
escardador,hombres,género
esclavo,hombres,género
espigador,hombres,género
esposo,hombres,género
estibador,hombres,género
eunuco,hombres,género
examinador,hombres,género
fanfarrón,hombres,género
farmacéutico,hombres,género
fisgón,hombres,género
gallito,hombres,género
generalísimo,hombres,género
gitano,hombres,género
golfillo,hombres,género
golfo,hombres,género
granjero,hombres,género
granuja,hombres,género
guardián,hombres,género
hermano,hombres,género
hermanito,hombres,género
hijo,hombres,género
hombre,hombres,género
hombres,hombres,género
huérfano,hombres,género
húsar,hombres,género
infiltrado,hombres,género
ingeniero,hombres,género
inquilino,hombres,género
inspector,hombres,género
instructor,hombres,género
investigador,hombres,género
jefe,hombres,género
jeque,hombres,género
jornalero,hombres,género
juez,hombres,género
júnior,hombres,género
labriego,hombres,género
ladrón,hombres,género
leñador,hombres,género
limpiador,hombres,género
macho,hombres,género
maestro,hombres,género
mamón,hombres,género
marido,hombres,género
marinero,hombres,género
matón,hombres,género
mayordomo,hombres,género
minero,hombres,género
mirón,hombres,género
mozo,hombres,género
médico,hombres,género
negro,hombres,género
niño,hombres,género
novio,hombres,género
observador,hombres,género
padre,hombres,género
panadero,hombres,género
pastor,hombres,género
patriarca,hombres,género
patrón,hombres,género
patán,hombres,género
peregrino,hombres,género
petimetre,hombres,género
peón,hombres,género
pintor,hombres,género
pionero,hombres,género
polígamo,hombres,género
porquero,hombres,género
portero,hombres,género
postulador,hombres,género
preso,hombres,género
primo,hombres,género
prisionero,hombres,género
profesor,hombres,género
propietario,hombres,género
proxeneta,hombres,género
príncipe,hombres,género
putero,hombres,género
pícaro,hombres,género
rastreador,hombres,género
recadero,hombres,género
recaudador,hombres,género
recogedor,hombres,género
revisor,hombres,género
sabueso,hombres,género
sacristán,hombres,género
sansón,hombres,género
segador,hombres,género
sepulturero,hombres,género
señor,hombres,género
sherlock,hombres,género
sobrecargo,hombres,género
sobrino,hombres,género
socio,hombres,género
soltero,hombres,género
sonámbulo,hombres,género
sr,hombres,género
superintendente,hombres,género
tarzán,hombres,género
tendedero,hombres,género
terrateniente,hombres,género
timonel,hombres,género
trabajador,hombres,género
vecino,hombres,género
vejete,hombres,género
vencedor,hombres,género
veterano,hombres,género
veterinario,hombres,género
viejo,hombres,género
violador,hombres,género
viudo,hombres,género
voyeur,hombres,género
zagal,hombres,género
