2074,24 horas en español_Nueva York_24h_M_2019 ,ellas,mujeres,tener,VERB,nsubj
2106,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,pasar,VERB,nsubj
2180,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,creer,VERB,nsubj
2182,24 horas en español_Nueva York_24h_M_2019 ,la,mujeres,creer,VERB,obj
2215,24 horas en español_Nueva York_24h_M_2019 ,señora,mujeres,detener,VERB,nsubj
2224,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,dar,VERB,obj
2244,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,dar,VERB,obj
2276,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,mirar,VERB,nsubj
2279,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,mirar,VERB,obj
2292,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,mirar,VERB,nsubj
2352,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,preguntar,VERB,nsubj
2358,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,saber,VERB,nsubj
2361,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,creer,VERB,nsubj
2363,24 horas en español_Nueva York_24h_M_2019 ,la,mujeres,creer,VERB,obj
2381,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,preguntar,VERB,nsubj
2451,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,tomar,VERB,nsubj
2470,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,querer,VERB,nsubj
2481,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,interesar,VERB,obj
2549,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,impresionar,VERB,obj
2595,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,pensar,VERB,obj
2613,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,detener,VERB,nsubj
2640,24 horas en español_Nueva York_24h_M_2019 ,mamá,mujeres,preocupado,ADJ,nsubj
2647,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,saber,VERB,nsubj
2660,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,decir él,VERB,obj
2808,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,observar,VERB,nsubj
2834,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,decir,VERB,nsubj
2858,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,decir,VERB,nsubj
2891,24 horas en español_Nueva York_24h_M_2019 ,señorita,mujeres,hablar,VERB,obj
2929,24 horas en español_Nueva York_24h_M_2019 ,maría,mujeres,pasar,VERB,nsubj
3000,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,responder,VERB,nsubj
3042,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,abrir,VERB,nsubj
3065,24 horas en español_Nueva York_24h_M_2019 ,andrew,hombres,decir,VERB,nsubj
3094,24 horas en español_Nueva York_24h_M_2019 ,andrew,hombres,responder,VERB,obj
3101,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,colgar,VERB,nsubj
3153,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,empezar,VERB,nsubj
3164,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,decir,VERB,nsubj
3176,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,reaccionar,VERB,nsubj
3216,24 horas en español_Nueva York_24h_M_2019 ,señores,hombres,confiar,VERB,nsubj
3302,24 horas en español_Nueva York_24h_M_2019 ,ella,mujeres,español,ADJ,nsubj
3318,24 horas en español_Nueva York_24h_M_2019 ,él,hombres,tener,VERB,nsubj
3418,24 horas en español_Nueva York_24h_M_2019 ,josh,hombres,hablar,VERB,obj
3453,24 horas en español_Nueva York_24h_M_2019 ,diego,hombres,conseguir,VERB,nsubj
3502,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,necesitar,VERB,nsubj
3541,24 horas en español_Nueva York_24h_M_2019 ,diego,hombres,responder,VERB,nsubj
3587,24 horas en español_Nueva York_24h_M_2019 ,miguel,hombres,llamar,VERB,obj
3605,24 horas en español_Nueva York_24h_M_2019 ,miguel,hombres,gustar,VERB,obj
3667,24 horas en español_Nueva York_24h_M_2019 ,padre,hombres,querer,VERB,nsubj
3717,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,decir,VERB,nsubj
3728,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,observar,VERB,nsubj
3733,24 horas en español_Nueva York_24h_M_2019 ,la,mujeres,observar,VERB,obj
3756,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,necesitar,VERB,nsubj
3764,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,gustar,VERB,obj
3821,24 horas en español_Nueva York_24h_M_2019 ,chico,hombres,listo,ADJ,amod
3840,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,decir,VERB,nsubj
3849,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,decir,VERB,obj
3859,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,decir,VERB,nsubj
3884,24 horas en español_Nueva York_24h_M_2019 ,maría,mujeres,observar,VERB,nsubj
3889,24 horas en español_Nueva York_24h_M_2019 ,padre,hombres,observar,VERB,obj
3899,24 horas en español_Nueva York_24h_M_2019 ,hija,mujeres,escuchar,VERB,obj
4098,24 horas en español_Nueva York_24h_M_2019 ,ella,mujeres,sentir,VERB,nsubj
4108,24 horas en español_Nueva York_24h_M_2019 ,la,mujeres,rodear,VERB,obj
4234,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,observar,VERB,nsubj
4237,24 horas en español_Nueva York_24h_M_2019 ,diego,hombres,observar,VERB,obj
4261,24 horas en español_Nueva York_24h_M_2019 ,julieta,mujeres,mirar,VERB,nsubj
4265,24 horas en español_Nueva York_24h_M_2019 ,niña,mujeres,mirar,VERB,obj
4317,24 horas en español_Nueva York_24h_M_2019 ,él,hombres,acercar,VERB,obj
4331,24 horas en español_Nueva York_24h_M_2019 ,niña,mujeres,mirar,VERB,nsubj
4339,24 horas en español_Nueva York_24h_M_2019 ,diego,hombres,responder,VERB,nsubj
4344,24 horas en español_Nueva York_24h_M_2019 ,novia,mujeres,responder,VERB,obj
4381,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,querer,VERB,nsubj
4393,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,llamar,VERB,nsubj
4422,24 horas en español_Nueva York_24h_M_2019 ,andrew,hombres,decir,VERB,nsubj
4438,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,subir,VERB,nsubj
4521,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,indicar,VERB,obj
4528,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,abrir,VERB,nsubj
4581,24 horas en español_Nueva York_24h_M_2019 ,director,hombres,artístico,ADJ,amod
4584,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,detener,VERB,nsubj
4655,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,comer,VERB,nsubj
4751,24 horas en español_Nueva York_24h_M_2019 ,diego,hombres,decir,VERB,nsubj
4807,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,tener,VERB,nsubj
4869,24 horas en español_Nueva York_24h_M_2019 ,diego,hombres,mirar,VERB,obj
4885,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,preguntar,VERB,nsubj
4894,24 horas en español_Nueva York_24h_M_2019 ,andrew,hombres,tener,VERB,nsubj
4938,24 horas en español_Nueva York_24h_M_2019 ,maría,mujeres,hablar,VERB,nsubj
5024,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,escuchar,VERB,nsubj
5122,24 horas en español_Nueva York_24h_M_2019 ,diego,hombres,entrar,VERB,nsubj
5176,24 horas en español_Nueva York_24h_M_2019 ,diego,hombres,mirar,VERB,nsubj
5179,24 horas en español_Nueva York_24h_M_2019 ,julieta,mujeres,mirar,VERB,obj
5214,24 horas en español_Nueva York_24h_M_2019 ,novias,mujeres,tener,VERB,obj
5216,24 horas en español_Nueva York_24h_M_2019 ,julieta,mujeres,decir,VERB,nsubj
5224,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,decir,VERB,nsubj
5237,24 horas en español_Nueva York_24h_M_2019 ,julieta,mujeres,reír,VERB,obj
5244,24 horas en español_Nueva York_24h_M_2019 ,diego,hombres,salir,VERB,nsubj
5262,24 horas en español_Nueva York_24h_M_2019 ,señor,hombres,salir,VERB,nsubj
5300,24 horas en español_Nueva York_24h_M_2019 ,diego,hombres,decir,VERB,nsubj
5308,24 horas en español_Nueva York_24h_M_2019 ,julieta,mujeres,mirar,VERB,nsubj
5311,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,mirar,VERB,obj
5333,24 horas en español_Nueva York_24h_M_2019 ,él,hombres,querer,VERB,nsubj
5362,24 horas en español_Nueva York_24h_M_2019 ,hermano,hombres,contestir,VERB,nsubj
5404,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,responder,VERB,obj
5432,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,estar,VERB,nsubj
5455,24 horas en español_Nueva York_24h_M_2019 ,julieta,mujeres,echar,VERB,nsubj
5468,24 horas en español_Nueva York_24h_M_2019 ,diego,hombres,mirar,VERB,nsubj
5472,24 horas en español_Nueva York_24h_M_2019 ,chicas,mujeres,mirar,VERB,obj
5510,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,decir,VERB,nsubj
5521,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,llegar,VERB,nsubj
5527,24 horas en español_Nueva York_24h_M_2019 ,julieta,mujeres,llegar,VERB,nsubj
5609,24 horas en español_Nueva York_24h_M_2019 ,sofía,mujeres,entrar,VERB,nsubj
5632,24 horas en español_Nueva York_24h_M_2019 ,diego,hombres,abrazar,VERB,nsubj
5638,24 horas en español_Nueva York_24h_M_2019 ,julieta,mujeres,unir,VERB,nsubj
5686,24 horas en español_Nueva York_24h_M_2019 ,hombre,hombres,llamado,ADJ,amod
5696,24 horas en español_Nueva York_24h_M_2019 ,hombre,hombres,exconstructor,ADJ,amod
5742,24 horas en español_Nueva York_24h_M_2019 ,médicos,hombres,correr,VERB,nsubj
5820,24 horas en español_Nueva York_24h_M_2019 ,señor,hombres,entrar,VERB,nsubj
5858,24 horas en español_Nueva York_24h_M_2019 ,ella,mujeres,decir,VERB,nsubj
5866,24 horas en español_Nueva York_24h_M_2019 ,padre,hombres,morir,VERB,nsubj
5872,24 horas en español_Nueva York_24h_M_2019 ,señor,hombres,llegar,VERB,nsubj
5885,24 horas en español_Nueva York_24h_M_2019 ,mujer,mujeres,encontrar,VERB,obj
5908,24 horas en español_Nueva York_24h_M_2019 ,señor,hombres,calvo,ADJ,amod
5927,24 horas en español_Nueva York_24h_M_2019 ,señor,hombres,llegar,VERB,obj
5931,24 horas en español_Nueva York_24h_M_2019 ,médico,hombres,levantar,VERB,nsubj
5942,24 horas en español_Nueva York_24h_M_2019 ,señor,hombres,sentar,VERB,nsubj
5966,24 horas en español_Nueva York_24h_M_2019 ,paula,mujeres,bajar,VERB,nsubj
6123,24 horas en español_Nueva York_24h_M_2019 ,josh,hombres,esperar,VERB,nsubj
6129,24 horas en español_Nueva York_24h_M_2019 ,diego,hombres,recordar,VERB,nsubj
6156,24 horas en español_Nueva York_24h_M_2019 ,diego,hombres,saludar,VERB,nsubj
6202,24 horas en español_Nueva York_24h_M_2019 ,diego,hombres,decir,VERB,nsubj
6215,24 horas en español_Nueva York_24h_M_2019 ,josh,hombres,responder,VERB,nsubj
6262,24 horas en español_Nueva York_24h_M_2019 ,diego,hombres,querer,VERB,nsubj
6266,24 horas en español_Nueva York_24h_M_2019 ,carol,hombres,esperar,VERB,obj
6266,24 horas en español_Nueva York_24h_M_2019 ,carol,mujeres,esperar,VERB,obj
6282,24 horas en español_Nueva York_24h_M_2019 ,ellos,hombres,discutir,VERB,nsubj
